iter	Passed	Remaining
0	399	199350
1	834	207865
2	1237	205089
3	1613	200047
4	2074	205350
5	2674	220236
6	3210	226136
7	3684	226620
8	4117	224643
9	4588	224813
10	4992	221947
11	5426	220694
12	5816	217908
13	6175	214394
14	6572	212497
15	6939	209924
16	7286	207026
17	7632	204369
18	7998	202477
19	8357	200581
20	8739	199339
21	9164	199127
22	9637	199878
23	10097	200265
24	10488	199288
25	10906	198837
26	11297	197922
27	11677	196849
28	12063	195928
29	12506	195942
30	12933	195671
31	13458	196823
32	13912	196881
33	14335	196475
34	14775	196299
35	15206	195995
36	15580	194971
37	15945	193868
38	16297	192646
39	16668	191687
40	17005	190376
41	17342	189113
42	17695	188070
43	18075	187327
44	18426	186312
45	18788	185433
46	19127	184361
47	19469	183341
48	19806	182298
49	20125	181127
50	20465	180177
51	20811	179296
52	21149	178376
53	21498	177565
54	21861	176875
55	22200	176021
56	22571	175426
57	22917	174647
58	23259	173854
59	23619	173209
60	23972	172521
61	24334	171908
62	24697	171317
63	25045	170625
64	25382	169867
65	25716	169102
66	26069	168477
67	26441	167980
68	26787	167327
69	27141	166727
70	27503	166183
71	27871	165679
72	28238	165175
73	28616	164736
74	28982	164236
75	29365	163830
76	29760	163490
77	30277	163810
78	30670	163448
79	31068	163107
80	31459	162735
81	31859	162404
82	32243	161992
83	32640	161648
84	33026	161246
85	33407	160822
86	33800	160457
87	34165	159956
88	34532	159472
89	34903	159006
90	35258	158471
91	35620	157971
92	35999	157546
93	36393	157189
94	36791	156846
95	37181	156471
96	37597	156202
97	37994	155854
98	38349	155333
99	38733	154933
100	39125	154566
101	39468	154002
102	39834	153538
103	40177	152982
104	40557	152574
105	40903	152037
106	41265	151562
107	41605	151012
108	41943	150459
109	42295	149956
110	42639	149429
111	43002	148973
112	43347	148457
113	43683	147912
114	44035	147424
115	44395	146965
116	44760	146522
117	45116	146054
118	45500	145678
119	45854	145205
120	46252	144872
121	46656	144559
122	47079	144299
123	47532	144131
124	47976	143928
125	48420	143725
126	48847	143465
127	49284	143233
128	49705	142951
129	50129	142676
130	50552	142396
131	50986	142142
132	51423	141896
133	51866	141666
134	52297	141397
135	52745	141171
136	53180	140909
137	53636	140699
138	54088	140473
139	54518	140189
140	54980	139985
141	55465	139835
142	55917	139598
143	56363	139343
144	56806	139077
145	57248	138807
146	57698	138554
147	58121	138234
148	58563	137957
149	59062	137812
150	59554	137646
151	59947	137249
152	60467	137138
153	60850	136715
154	61246	136323
155	61838	136362
156	62302	136112
157	62854	136051
158	63246	135642
159	63612	135177
160	63975	134706
161	64353	134268
162	64698	133763
163	65058	133290
164	65416	132814
165	65768	132329
166	66135	131874
167	66511	131439
168	66875	130980
169	67233	130511
170	67591	130045
171	67947	129575
172	68310	129118
173	68688	128692
174	69207	128527
175	69630	128183
176	69999	127739
177	70363	127285
178	70815	126992
179	71430	126988
180	71888	126698
181	72312	126348
182	72716	125963
183	73167	125656
184	73614	125344
185	74052	125014
186	74475	124657
187	74940	124370
188	75387	124051
189	75830	123723
190	76252	123360
191	76678	123004
192	77150	122720
193	77605	122408
194	78054	122085
195	78513	121775
196	78983	121481
197	79483	121232
198	79938	120911
199	80434	120651
200	80888	120327
201	81353	120016
202	81786	119658
203	82144	119189
204	82506	118728
205	82907	118324
206	83324	117942
207	83752	117575
208	84124	117130
209	84495	116683
210	84946	116347
211	85412	116031
212	85851	115677
213	86232	115245
214	86593	114787
215	87026	114423
216	87459	114059
217	87864	113659
218	88243	113225
219	88649	112826
220	89103	112487
221	89533	112117
222	89913	111685
223	90270	111225
224	90644	110788
225	91070	110412
226	91507	110051
227	91907	109644
228	92261	109182
229	92646	108758
230	93069	108379
231	93542	108057
232	93990	107705
233	94356	107260
234	94734	106827
235	95167	106458
236	95658	106152
237	96048	105734
238	96397	105271
239	96778	104843
240	97195	104455
241	97616	104070
242	98004	103650
243	98346	103183
244	98713	102742
245	99153	102378
246	99553	101971
247	99935	101546
248	100278	101083
249	100636	100636
250	101068	100263
251	101508	99896
252	101927	99509
253	102294	99072
254	102675	98648
255	103114	98281
256	103564	97923
257	103990	97541
258	104375	97121
259	104759	96700
260	105199	96332
261	105632	95956
262	106024	95542
263	106383	95100
264	106774	94686
265	107182	94288
266	107604	93901
267	107993	93487
268	108353	93047
269	108718	92612
270	109136	92222
271	109559	91836
272	109963	91434
273	110327	91000
274	110688	90563
275	111296	90327
276	111726	89945
277	112104	89522
278	112533	89139
279	112982	88772
280	113344	88335
281	113692	87890
282	114038	87443
283	114388	86999
284	114741	86559
285	115101	86125
286	115488	85710
287	115876	85297
288	116256	84879
289	116622	84450
290	116975	84013
291	117325	83574
292	117670	83132
293	118017	82692
294	118359	82250
295	118700	81806
296	119045	81368
297	119387	80926
298	119745	80497
299	120113	80075
300	120468	79645
301	120825	79216
302	121231	78820
303	121654	78435
304	122034	78021
305	122489	77656
306	122902	77264
307	123306	76866
308	123714	76470
309	124114	76070
310	124512	75668
311	125029	75338
312	125395	74917
313	125768	74499
314	126176	74103
315	126546	73685
316	126935	73278
317	127284	72848
318	127643	72424
319	128003	72002
320	128358	71577
321	128722	71156
322	129094	70742
323	129450	70318
324	129783	69883
325	130121	69451
326	130463	69021
327	130807	68594
328	131168	68175
329	131546	67766
330	131920	67355
331	132324	66959
332	132756	66577
333	133125	66163
334	133506	65756
335	133864	65338
336	134218	64918
337	134566	64496
338	134932	64083
339	135285	63663
340	135679	63264
341	136048	62852
342	136396	62432
343	136742	62011
344	137088	61590
345	137447	61176
346	137926	60815
347	138462	60477
348	138882	60089
349	139396	59741
350	139834	59359
351	140240	58964
352	140688	58586
353	141137	58209
354	141605	57839
355	142065	57464
356	142477	57070
357	142865	56667
358	143300	56282
359	143733	55896
360	144147	55502
361	144502	55086
362	144849	54667
363	145261	54273
364	145674	53879
365	146097	53489
366	146448	53072
367	146799	52656
